"tick","p"
1.0,5
2.0,5
3.0,5
4.0,5
5.0,5
6.0,5
7.0,5
8.0,5
9.0,5
10.0,5
11.0,5
12.0,4
13.0,4
14.0,4
15.0,4
16.0,4
17.0,4
18.0,4
19.0,4
20.0,4
21.0,4
22.0,4
23.0,4
24.0,3
25.0,3
26.0,3
27.0,3
28.0,3
29.0,3
30.0,3
31.0,3
32.0,3
33.0,3
34.0,3
35.0,3
36.0,3
37.0,3
38.0,3
39.0,3
40.0,3
41.0,3
42.0,3
43.0,3
44.0,3
45.0,3
46.0,3
47.0,3
48.0,3
49.0,3
50.0,3
51.0,3
52.0,3
53.0,3
54.0,3
55.0,3
56.0,3
57.0,3
58.0,3
59.0,3
60.0,3
61.0,3
62.0,3
63.0,3
64.0,3
65.0,3
66.0,3
67.0,3
68.0,3
69.0,3
70.0,3
71.0,3
72.0,3
73.0,3
74.0,3
75.0,3
76.0,3
77.0,3
78.0,3
79.0,3
80.0,3
81.0,3
82.0,3
83.0,3
84.0,3
85.0,3
86.0,3
87.0,3
88.0,3
89.0,3
90.0,3
91.0,3
92.0,3
93.0,3
94.0,3
95.0,3
96.0,3
97.0,2
98.0,2
99.0,2
100.0,2
101.0,2
102.0,2
103.0,2
104.0,2
105.0,2
106.0,2
107.0,2
108.0,2
109.0,2
110.0,2
111.0,2
112.0,2
113.0,2
114.0,2
115.0,2
116.0,2
117.0,2
118.0,2
119.0,2
120.0,2
121.0,2
122.0,2
123.0,2
124.0,2
125.0,2
126.0,2
127.0,2
128.0,2
129.0,2
130.0,2
131.0,2
132.0,2
133.0,2
134.0,2
135.0,2
136.0,2
137.0,2
138.0,2
139.0,2
140.0,2
141.0,2
142.0,2
143.0,2
144.0,2
145.0,2
146.0,2
147.0,2
148.0,2
149.0,2
150.0,2
151.0,2
152.0,2
153.0,2
154.0,2
155.0,2
156.0,2
157.0,2
158.0,2
159.0,2
160.0,2
161.0,2
162.0,2
163.0,2
164.0,2
165.0,2
166.0,2
167.0,2
168.0,2
169.0,2
170.0,2
171.0,2
172.0,2
173.0,2
174.0,2
175.0,2
176.0,2
177.0,2
178.0,2
179.0,2
180.0,2
181.0,2
182.0,2
183.0,2
184.0,2
185.0,2
186.0,2
187.0,2
188.0,2
189.0,2
190.0,2
191.0,2
192.0,2
193.0,2
194.0,2
195.0,2
196.0,2
197.0,2
198.0,2
199.0,2
200.0,2
201.0,2
202.0,2
203.0,2
204.0,2
205.0,2
206.0,2
207.0,2
208.0,2
209.0,2
210.0,2
211.0,2
212.0,2
213.0,2
214.0,2
215.0,2
216.0,2
217.0,2
218.0,2
219.0,2
220.0,2
221.0,2
222.0,2
223.0,2
224.0,2
225.0,2
226.0,2
227.0,2
228.0,2
229.0,2
230.0,2
231.0,2
232.0,2
233.0,2
234.0,2
235.0,2
236.0,2
237.0,2
238.0,2
239.0,2
240.0,2
241.0,2
242.0,2
243.0,2
244.0,2
245.0,2
246.0,2
247.0,2
248.0,2
249.0,2
250.0,2
251.0,2
252.0,2
253.0,2
254.0,2
255.0,2
256.0,2
257.0,2
258.0,2
259.0,2
260.0,2
