"tick","p"
1.0,5
2.0,5
3.0,5
4.0,5
5.0,5
6.0,5
7.0,5
8.0,5
9.0,5
10.0,5
11.0,5
12.0,5
13.0,5
14.0,5
15.0,5
16.0,5
17.0,5
18.0,5
19.0,5
20.0,5
21.0,5
22.0,5
23.0,5
24.0,5
25.0,5
26.0,5
27.0,5
28.0,5
29.0,5
30.0,5
31.0,5
32.0,5
33.0,4
34.0,4
35.0,4
36.0,4
37.0,4
38.0,4
39.0,4
40.0,4
41.0,4
42.0,4
43.0,4
44.0,4
45.0,4
46.0,4
47.0,4
48.0,4
49.0,4
50.0,4
51.0,4
52.0,4
53.0,4
54.0,4
55.0,4
56.0,4
57.0,4
58.0,4
59.0,4
60.0,4
61.0,4
62.0,4
63.0,4
64.0,4
65.0,4
66.0,4
67.0,4
68.0,4
69.0,4
70.0,4
71.0,4
72.0,4
73.0,4
74.0,4
75.0,4
76.0,4
77.0,4
78.0,4
79.0,4
80.0,4
81.0,4
82.0,4
83.0,4
84.0,4
85.0,4
86.0,4
87.0,4
88.0,4
89.0,4
90.0,4
91.0,4
92.0,4
93.0,4
94.0,4
95.0,4
96.0,4
97.0,4
98.0,4
99.0,4
100.0,4
101.0,4
102.0,4
103.0,4
104.0,4
105.0,4
106.0,4
107.0,4
108.0,4
109.0,4
110.0,4
111.0,4
112.0,4
113.0,4
114.0,4
115.0,4
116.0,4
117.0,4
118.0,4
119.0,4
120.0,4
121.0,4
122.0,4
123.0,4
124.0,4
125.0,4
126.0,4
127.0,4
128.0,4
129.0,4
130.0,4
131.0,4
132.0,4
133.0,4
134.0,4
135.0,4
136.0,4
137.0,4
138.0,4
139.0,4
140.0,4
141.0,4
142.0,4
143.0,4
144.0,4
145.0,4
146.0,4
147.0,4
148.0,4
149.0,4
150.0,4
151.0,4
152.0,4
153.0,4
154.0,4
155.0,4
156.0,4
157.0,4
158.0,4
159.0,4
160.0,4
161.0,4
162.0,4
163.0,4
164.0,4
165.0,4
166.0,4
167.0,4
168.0,4
169.0,4
170.0,4
171.0,4
172.0,4
173.0,4
174.0,4
175.0,4
176.0,4
177.0,4
178.0,4
179.0,4
180.0,4
181.0,4
182.0,4
183.0,4
184.0,4
185.0,4
186.0,4
187.0,4
188.0,4
189.0,4
190.0,4
191.0,4
192.0,4
193.0,4
194.0,4
195.0,4
196.0,4
197.0,4
198.0,4
199.0,4
200.0,4
201.0,4
202.0,4
203.0,4
204.0,4
205.0,4
206.0,4
207.0,4
208.0,4
209.0,4
210.0,4
211.0,4
212.0,4
213.0,4
214.0,4
215.0,4
216.0,4
217.0,4
218.0,4
219.0,4
220.0,4
221.0,4
222.0,4
223.0,4
224.0,4
225.0,4
226.0,4
227.0,4
228.0,4
229.0,4
230.0,4
231.0,4
232.0,4
233.0,4
234.0,4
235.0,4
236.0,4
237.0,4
238.0,4
239.0,4
240.0,4
241.0,4
242.0,4
243.0,4
244.0,4
245.0,4
246.0,4
247.0,4
248.0,4
249.0,4
250.0,4
251.0,4
252.0,4
253.0,4
254.0,4
255.0,4
256.0,4
257.0,4
258.0,4
259.0,4
260.0,4
261.0,4
262.0,4
263.0,4
264.0,4
265.0,4
266.0,4
267.0,4
268.0,4
269.0,4
270.0,4
271.0,4
272.0,4
273.0,4
274.0,4
275.0,4
276.0,4
277.0,4
278.0,4
279.0,4
280.0,4
281.0,4
282.0,4
283.0,4
284.0,4
285.0,4
286.0,4
287.0,4
288.0,4
289.0,4
290.0,4
291.0,4
292.0,4
293.0,4
294.0,4
295.0,4
296.0,4
297.0,4
298.0,4
299.0,4
300.0,4
301.0,4
302.0,4
303.0,4
304.0,4
305.0,4
306.0,4
307.0,4
308.0,4
309.0,4
310.0,4
311.0,4
312.0,4
313.0,4
314.0,4
315.0,4
316.0,4
317.0,4
318.0,4
319.0,4
320.0,4
321.0,4
322.0,4
323.0,4
324.0,4
325.0,4
326.0,4
327.0,4
328.0,4
329.0,4
330.0,4
331.0,4
332.0,4
333.0,4
334.0,4
335.0,4
336.0,4
337.0,4
338.0,4
339.0,4
340.0,4
341.0,4
342.0,4
343.0,4
344.0,4
345.0,4
346.0,4
347.0,4
348.0,4
349.0,4
350.0,4
351.0,4
352.0,4
353.0,4
354.0,4
355.0,4
356.0,4
357.0,4
358.0,4
359.0,4
360.0,4
361.0,4
362.0,4
363.0,4
364.0,4
365.0,4
366.0,4
367.0,4
368.0,4
369.0,4
370.0,4
371.0,4
372.0,4
373.0,4
374.0,4
375.0,4
376.0,4
377.0,4
378.0,4
379.0,4
380.0,4
381.0,4
382.0,4
383.0,4
384.0,4
385.0,4
386.0,4
387.0,4
388.0,4
389.0,4
390.0,4
391.0,4
392.0,4
393.0,4
394.0,4
395.0,4
396.0,4
397.0,4
