"tick","p"
1.0,5
2.0,5
3.0,5
4.0,5
5.0,5
6.0,5
7.0,5
8.0,5
9.0,5
10.0,5
11.0,5
12.0,5
13.0,5
14.0,5
15.0,5
16.0,5
17.0,5
18.0,5
19.0,5
20.0,5
21.0,5
22.0,5
23.0,5
24.0,5
25.0,5
26.0,5
27.0,5
28.0,5
29.0,5
30.0,5
31.0,5
32.0,4
33.0,4
34.0,4
35.0,4
36.0,4
37.0,4
38.0,4
39.0,4
40.0,4
41.0,4
42.0,4
43.0,4
44.0,4
45.0,3
46.0,3
47.0,3
48.0,2
49.0,2
50.0,2
51.0,2
52.0,2
53.0,2
54.0,2
55.0,2
56.0,2
57.0,2
58.0,2
59.0,2
60.0,2
61.0,2
62.0,2
63.0,2
64.0,2
65.0,2
66.0,2
67.0,2
68.0,2
69.0,2
70.0,2
71.0,2
72.0,2
73.0,2
74.0,2
75.0,2
76.0,2
77.0,2
78.0,2
79.0,2
80.0,2
81.0,2
82.0,2
83.0,2
84.0,2
85.0,2
86.0,2
87.0,2
88.0,2
89.0,2
90.0,2
91.0,2
92.0,2
93.0,2
94.0,2
95.0,2
96.0,2
97.0,2
98.0,2
99.0,2
100.0,2
101.0,2
102.0,2
103.0,2
104.0,2
105.0,2
106.0,2
107.0,2
108.0,2
109.0,2
110.0,2
111.0,2
112.0,2
113.0,2
114.0,2
115.0,2
116.0,2
117.0,2
118.0,2
119.0,2
120.0,2
121.0,2
122.0,2
123.0,2
124.0,2
125.0,2
126.0,2
127.0,2
128.0,2
129.0,2
130.0,2
131.0,2
132.0,2
133.0,2
134.0,2
135.0,2
136.0,2
137.0,2
138.0,2
139.0,2
140.0,2
141.0,2
142.0,2
143.0,2
144.0,2
145.0,2
146.0,2
147.0,2
148.0,2
149.0,2
150.0,2
151.0,2
152.0,2
153.0,2
154.0,2
155.0,2
156.0,2
157.0,2
158.0,2
159.0,2
160.0,2
161.0,2
162.0,2
163.0,2
164.0,2
165.0,2
166.0,2
167.0,2
168.0,2
169.0,2
170.0,2
171.0,2
172.0,2
173.0,2
174.0,2
175.0,2
176.0,2
177.0,2
178.0,2
179.0,2
180.0,2
181.0,2
182.0,2
183.0,2
184.0,2
185.0,2
186.0,2
187.0,2
188.0,2
189.0,2
190.0,2
191.0,2
192.0,2
193.0,2
194.0,2
195.0,2
196.0,2
197.0,2
198.0,2
199.0,2
200.0,2
201.0,2
202.0,2
203.0,2
204.0,2
205.0,2
206.0,2
207.0,2
208.0,2
209.0,2
210.0,2
211.0,2
212.0,2
213.0,2
214.0,2
215.0,2
216.0,2
217.0,2
218.0,2
219.0,2
220.0,2
221.0,2
222.0,2
223.0,2
224.0,2
225.0,2
226.0,2
227.0,2
228.0,2
229.0,2
230.0,2
231.0,2
232.0,1
233.0,1
234.0,1
235.0,1
236.0,1
237.0,1
238.0,1
239.0,1
240.0,1
241.0,1
242.0,1
243.0,1
244.0,1
245.0,1
246.0,1
247.0,1
248.0,1
249.0,1
250.0,1
251.0,1
252.0,1
253.0,1
254.0,1
255.0,1
256.0,1
257.0,1
258.0,1
259.0,1
260.0,1
261.0,1
262.0,1
263.0,1
264.0,1
265.0,1
266.0,1
267.0,1
268.0,1
269.0,1
270.0,1
271.0,1
272.0,1
273.0,1
274.0,1
275.0,1
276.0,1
277.0,1
278.0,1
279.0,1
280.0,1
281.0,1
282.0,1
283.0,1
284.0,1
285.0,1
286.0,1
287.0,1
288.0,1
289.0,1
290.0,1
291.0,1
292.0,1
293.0,1
294.0,1
295.0,1
296.0,1
297.0,1
298.0,1
299.0,1
300.0,1
301.0,1
302.0,1
303.0,1
304.0,1
305.0,1
306.0,1
307.0,1
308.0,1
309.0,1
310.0,1
311.0,1
312.0,1
313.0,1
314.0,1
315.0,1
316.0,1
317.0,1
318.0,1
319.0,1
320.0,1
321.0,1
322.0,1
323.0,1
324.0,1
325.0,1
326.0,1
327.0,1
328.0,0
329.0,0
